"docUuid","visitors","desktop_search_R","desktop_search_V","desktop_search_S3"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","38709",181,233,188
"78c3ab34-a487-11e8-9645-8f4a631f500f","38477",12,48,19
"bc306efe-a44e-11e8-b3aa-41d95f45639c","36515",22,26,23
"c8ba8210-94b1-11e8-ac97-2078d824af27","35983",388,632,403
"10e87e8a-94a2-11e8-ba78-2078d824af27","34949",849,956,868
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","34791",4,7,1
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","34711",254,301,279
"21b31f3a-a12d-11e8-be1d-41d95f45639c","34612",225,259,241
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","33851",445,584,457
"2638cfae-9c74-11e8-96ad-a25db12b5a53","33128",222,299,232
"c97f5c78-9977-11e8-a79d-852902e95e35","32393",100,163,107
"c429cfac-9593-11e8-863b-fc60c095174f","31775",48,98,52
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","31684",1018,1148,1037
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","30401",200,261,204
"c43b5286-a146-11e8-bf2c-8f4a631f500f","30284",63,196,172
"45b330ee-9a18-11e8-b397-f017b12b5a53","29859",33,52,42
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","29700",101,109,103
"c429cfac-9593-11e8-863b-fc60c095174f","29673",367,861,382
"9812c736-a211-11e8-9004-8f4a631f500f","28920",37,109,37
"ae8e992c-a08b-11e8-9082-41d95f45639c","28678",348,567,373
"9812c736-a211-11e8-9004-8f4a631f500f","28669",23,42,23
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","28384",0,1,0
"2638cfae-9c74-11e8-96ad-a25db12b5a53","27972",343,481,352
"3924a578-9659-11e8-ae1c-fc60c095174f","27955",78,114,85
"108aa054-96fe-11e8-bcbd-2078d824af27","27352",64,91,68
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","27350",164,213,176
"3d66192a-9490-11e8-9907-2078d824af27","27337",622,770,656
"c83591a6-a05d-11e8-af80-8f4a631f500f","27335",164,210,167
"ed3a207c-a457-11e8-8f32-8f4a631f500f","27188",17,19,18
"907ae110-96eb-11e8-96a7-fc60c095174f","25803",38,46,43
"5465e68c-9968-11e8-b9c7-852902e95e35","25777",215,244,216
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","25667",236,355,248
"c5eb79ce-a085-11e8-a080-41d95f45639c","25557",17,29,20
"9812c736-a211-11e8-9004-8f4a631f500f","25306",19,41,19
"138ad2d4-9559-11e8-993b-2078d824af27","25177",86,118,90
"c43b5286-a146-11e8-bf2c-8f4a631f500f","25175",9,36,32
"a5dc0066-a154-11e8-84d8-8f4a631f500f","25132",132,159,147
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","24564",146,189,152
"f0342652-96f5-11e8-83ad-2078d824af27","24515",73,126,83
"7990d002-9fbc-11e8-9724-a25db12b5a53","24502",11,18,15
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","24234",533,626,565
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","24221",88,151,90
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","23937",87,125,96
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","23927",143,163,152
"6d99ea58-a125-11e8-85de-8f4a631f500f","23703",49,63,53
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","23522",135,198,143
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","23370",35,49,36
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","23051",247,263,249
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","22662",251,279,253
"fcf7151c-94ce-11e8-9aff-fc60c095174f","22363",80,123,82
"2638cfae-9c74-11e8-96ad-a25db12b5a53","22309",192,264,203
"feb5a38e-a47b-11e8-b5e0-41d95f45639c","22012",11,17,12
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","21802",0,0,0
"907ae110-96eb-11e8-96a7-fc60c095174f","21791",78,103,88
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","21594",28,33,29
"bce1283c-a1fd-11e8-897e-41d95f45639c","21371",37,63,38
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","21367",56,85,60
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","21336",56,98,62
"45b330ee-9a18-11e8-b397-f017b12b5a53","20922",139,185,158
"3446b5f6-956d-11e8-a183-fc60c095174f","20677",394,460,421
"fb4e9adc-958c-11e8-89f9-fc60c095174f","20260",250,317,255
"c97f5c78-9977-11e8-a79d-852902e95e35","20032",34,57,41
"78c3ab34-a487-11e8-9645-8f4a631f500f","19143",0,2,0
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","18968",52,106,59
"456b68e4-9ca8-11e8-884c-eb1702e95e35","18644",42,51,46
"f0342652-96f5-11e8-83ad-2078d824af27","18320",20,34,24
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","18049",54,105,58
"5e3eb89a-a472-11e8-bd25-41d95f45639c","17876",15,16,16
"108aa054-96fe-11e8-bcbd-2078d824af27","17840",30,46,32
"907ae110-96eb-11e8-96a7-fc60c095174f","17758",34,46,39
"fd0296d2-93ff-11e8-a43c-fc60c095174f","17738",195,442,199
"c8ba8210-94b1-11e8-ac97-2078d824af27","17685",132,229,145
"b6f434f0-9631-11e8-8a60-fc60c095174f","17364",23,33,23
"456b68e4-9ca8-11e8-884c-eb1702e95e35","17300",93,107,96
"f0342652-96f5-11e8-83ad-2078d824af27","17093",22,29,22
"99301356-9953-11e8-8039-2078d824af27","16846",17,27,20
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","16825",16,27,17
"0814e520-9d3d-11e8-89aa-a25db12b5a53","16823",39,109,41
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","16648",0,1,1
"f462cb8c-957b-11e8-b8cb-fc60c095174f","16582",75,163,82
"7990d002-9fbc-11e8-9724-a25db12b5a53","16546",139,163,147
"fe3217ec-9a0f-11e8-b345-107bb12b5a53","16517",34,50,43
"138ad2d4-9559-11e8-993b-2078d824af27","16389",144,225,150
"fa18e6d4-9bb5-11e8-a60f-eb1702e95e35","16343",0,3,2
"fb4e9adc-958c-11e8-89f9-fc60c095174f","16336",2,5,3
"108aa054-96fe-11e8-bcbd-2078d824af27","16322",63,93,65
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","16202",29,44,36
"bce78bf8-a510-11e8-823f-8f4a631f500f","16119",9,13,10
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","16023",38,53,41
"ae91f93c-964f-11e8-aa2d-2078d824af27","15943",55,96,55
"f5fd35d8-a546-11e8-aa27-8f4a631f500f","15707",30,37,30
"ed3a207c-a457-11e8-8f32-8f4a631f500f","15620",18,18,18
"07b77414-9f98-11e8-b572-eb1702e95e35","15521",84,116,92
"e9383386-995f-11e8-a4ed-852902e95e35","15517",18,27,18
"1f70904e-9b02-11e8-bc21-f017b12b5a53","15469",41,64,51
"a5dc0066-a154-11e8-84d8-8f4a631f500f","15155",206,231,226
"ae91f93c-964f-11e8-aa2d-2078d824af27","15148",43,85,44
"c5eb79ce-a085-11e8-a080-41d95f45639c","15126",22,24,23
"b6f434f0-9631-11e8-8a60-fc60c095174f","15109",26,38,27
"639f36c2-00ec-11e8-86c6-d6fd8c1371f3","14972",0,0,0
"3924a578-9659-11e8-ae1c-fc60c095174f","14908",17,21,18
"bce1283c-a1fd-11e8-897e-41d95f45639c","14768",113,158,117
"e028d788-a1f1-11e8-9f37-8f4a631f500f","14689",157,211,170
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","14585",46,55,47
"69f972a4-a168-11e8-9077-41d95f45639c","14266",163,239,162
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","14247",0,0,0
