"docUuid","visitors","desktop_all_R","desktop_all_V","desktop_all_S3"
"c5eb79ce-a085-11e8-a080-41d95f45639c","40926",23703,32931,25400
"f4d79d92-a519-11e8-a628-8f4a631f500f","40477",27094,36429,29645
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","40144",20715,33631,21610
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","40128",25779,30540,26741
"9812c736-a211-11e8-9004-8f4a631f500f","39580",12354,31452,12760
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","38970",15768,31937,15271
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","38709",18878,30652,20049
"78c3ab34-a487-11e8-9645-8f4a631f500f","38477",6660,33578,8957
"bc306efe-a44e-11e8-b3aa-41d95f45639c","36515",24044,30366,24827
"c8ba8210-94b1-11e8-ac97-2078d824af27","35983",13388,25538,14033
"10e87e8a-94a2-11e8-ba78-2078d824af27","34949",20309,23723,21006
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","34791",11930,26878,11498
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","34711",19285,23407,21470
"21b31f3a-a12d-11e8-be1d-41d95f45639c","34612",20188,24126,21791
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","33851",13692,20422,14337
"2638cfae-9c74-11e8-96ad-a25db12b5a53","33128",19598,26325,20656
"c97f5c78-9977-11e8-a79d-852902e95e35","32393",12079,24688,12823
"c429cfac-9593-11e8-863b-fc60c095174f","31775",9720,24729,10133
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","31684",14007,15844,14306
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","30401",12039,18387,12632
"c43b5286-a146-11e8-bf2c-8f4a631f500f","30284",3881,24118,20031
"45b330ee-9a18-11e8-b397-f017b12b5a53","29859",16130,21727,18423
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","29700",18147,21968,19025
"c429cfac-9593-11e8-863b-fc60c095174f","29673",10196,25500,10573
"9812c736-a211-11e8-9004-8f4a631f500f","28920",8481,20951,8716
"ae8e992c-a08b-11e8-9082-41d95f45639c","28678",14492,22679,15248
"9812c736-a211-11e8-9004-8f4a631f500f","28669",10127,25022,10472
"2638cfae-9c74-11e8-96ad-a25db12b5a53","27972",10637,14691,11170
"3924a578-9659-11e8-ae1c-fc60c095174f","27955",15236,22165,16002
"108aa054-96fe-11e8-bcbd-2078d824af27","27352",10878,18668,11746
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","27350",14056,19137,14700
"3d66192a-9490-11e8-9907-2078d824af27","27337",15986,20201,16834
"c83591a6-a05d-11e8-af80-8f4a631f500f","27335",14741,18961,15068
"ed3a207c-a457-11e8-8f32-8f4a631f500f","27188",16044,19510,16525
"907ae110-96eb-11e8-96a7-fc60c095174f","25803",15921,22565,20275
"5465e68c-9968-11e8-b9c7-852902e95e35","25777",18097,20600,18441
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","25667",10699,18993,11241
"c5eb79ce-a085-11e8-a080-41d95f45639c","25557",13559,18720,14501
"9812c736-a211-11e8-9004-8f4a631f500f","25306",7455,18723,7637
"138ad2d4-9559-11e8-993b-2078d824af27","25177",10765,17202,11831
"c43b5286-a146-11e8-bf2c-8f4a631f500f","25175",3676,19153,16110
"a5dc0066-a154-11e8-84d8-8f4a631f500f","25132",13912,15922,15082
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","24564",12869,18054,13220
"f0342652-96f5-11e8-83ad-2078d824af27","24515",12585,18957,13562
"7990d002-9fbc-11e8-9724-a25db12b5a53","24502",11837,14501,12744
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","24234",14164,16645,15197
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","24221",9623,18882,9983
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","23937",14331,17716,15506
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","23927",13495,16674,15249
"6d99ea58-a125-11e8-85de-8f4a631f500f","23703",14678,17970,15388
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","23522",10489,15636,10732
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","23370",13929,17884,14743
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","23051",11130,12457,11375
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","22662",12073,13438,12321
"fcf7151c-94ce-11e8-9aff-fc60c095174f","22363",10703,19857,11619
"2638cfae-9c74-11e8-96ad-a25db12b5a53","22309",8659,12076,9119
"feb5a38e-a47b-11e8-b5e0-41d95f45639c","22012",12013,14644,12560
"907ae110-96eb-11e8-96a7-fc60c095174f","21791",11114,15559,13774
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","21776",10699,16980,14079
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","21594",11422,15185,12072
"bce1283c-a1fd-11e8-897e-41d95f45639c","21371",9494,18489,9984
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","21367",8887,15296,9320
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","21336",4765,10966,5291
"45b330ee-9a18-11e8-b397-f017b12b5a53","20922",11723,15724,13283
"3446b5f6-956d-11e8-a183-fc60c095174f","20677",12746,14857,13708
"fb4e9adc-958c-11e8-89f9-fc60c095174f","20260",11732,16627,12046
"c97f5c78-9977-11e8-a79d-852902e95e35","20032",6395,13404,6868
"78c3ab34-a487-11e8-9645-8f4a631f500f","19143",3142,13908,4118
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","18968",6958,15164,7628
"456b68e4-9ca8-11e8-884c-eb1702e95e35","18644",12373,14788,12966
"f0342652-96f5-11e8-83ad-2078d824af27","18320",9262,13905,9975
"b769cd20-a2b4-11e8-9c73-8f4a631f500f","18049",4182,9265,4615
"5e3eb89a-a472-11e8-bd25-41d95f45639c","17876",10572,13190,11186
"108aa054-96fe-11e8-bcbd-2078d824af27","17840",8918,14968,9623
"907ae110-96eb-11e8-96a7-fc60c095174f","17758",9005,12818,11267
"fd0296d2-93ff-11e8-a43c-fc60c095174f","17738",5415,13850,5597
"c8ba8210-94b1-11e8-ac97-2078d824af27","17685",6509,12207,6851
"b6f434f0-9631-11e8-8a60-fc60c095174f","17364",9847,13823,10309
"456b68e4-9ca8-11e8-884c-eb1702e95e35","17300",7277,8644,7557
"f0342652-96f5-11e8-83ad-2078d824af27","17093",9105,14430,9968
"99301356-9953-11e8-8039-2078d824af27","16846",6092,11293,8391
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","16825",5704,11647,5983
"0814e520-9d3d-11e8-89aa-a25db12b5a53","16823",5187,13530,5196
"f462cb8c-957b-11e8-b8cb-fc60c095174f","16582",5776,13642,6213
"7990d002-9fbc-11e8-9724-a25db12b5a53","16546",9299,11393,10021
"fe3217ec-9a0f-11e8-b345-107bb12b5a53","16517",7647,11943,9036
