"docUuid","visitors","MAX(shareTotal)","visits_social","social_R","social_V","social_S3"
"a5dc0066-a154-11e8-84d8-8f4a631f500f","46016",22,"13","7","7","7"
"0814e520-9d3d-11e8-89aa-a25db12b5a53","43536",16,"9","2","3","2"
"21b31f3a-a12d-11e8-be1d-41d95f45639c","43113",14,"26","8","10","10"
"a5956c8a-9ee0-11e8-ad05-a25db12b5a53","41791",9,"3","1","1","1"
"421f65a6-93f6-11e8-925d-fc60c095174f","41540",695,"206","72","96","78"
"c5eb79ce-a085-11e8-a080-41d95f45639c","40926",20,"38","11","17","14"
"f4d79d92-a519-11e8-a628-8f4a631f500f","40477",14,"951","469","943","496"
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","40144",35,"38","8","11","8"
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","40128",13,"33","10","12","10"
"9812c736-a211-11e8-9004-8f4a631f500f","39580",28,"44","10","16","10"
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","38970",16,"9","1","3","1"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","38709",6218,"339","114","140","116"
"78c3ab34-a487-11e8-9645-8f4a631f500f","38477",13,"19","1","6","1"
"bc306efe-a44e-11e8-b3aa-41d95f45639c","36515",26,"6","2","4","2"
"c8ba8210-94b1-11e8-ac97-2078d824af27","35983",17,"10","1","3","1"
"10e87e8a-94a2-11e8-ba78-2078d824af27","34949",43,"6","3","3","3"
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","34791",12,"10","1","1","1"
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","34711",7,"25","10","13","11"
"21b31f3a-a12d-11e8-be1d-41d95f45639c","34612",14,"7","3","3","3"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","33851",5009,"1009","288","375","298"
"2638cfae-9c74-11e8-96ad-a25db12b5a53","33128",10,"2","2","2","2"
"c97f5c78-9977-11e8-a79d-852902e95e35","32393",10,"24","2","3","2"
"c429cfac-9593-11e8-863b-fc60c095174f","31775",3,"1","0","0","0"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","31684",168,"24","7","7","7"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","30401",5643,"607","195","254","200"
"c43b5286-a146-11e8-bf2c-8f4a631f500f","30284",7,"10","1","7","7"
"45b330ee-9a18-11e8-b397-f017b12b5a53","29859",7,"15","5","6","6"
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","29700",6,"29","12","12","12"
"c429cfac-9593-11e8-863b-fc60c095174f","29673",15,"1","1","1","1"
"9812c736-a211-11e8-9004-8f4a631f500f","28920",35,"18","0","0","0"
"ae8e992c-a08b-11e8-9082-41d95f45639c","28678",29,"1","0","0","0"
"9812c736-a211-11e8-9004-8f4a631f500f","28669",39,"3","1","1","1"
"2638cfae-9c74-11e8-96ad-a25db12b5a53","27972",8,"4","2","2","2"
"3924a578-9659-11e8-ae1c-fc60c095174f","27955",10,"7","2","2","2"
"108aa054-96fe-11e8-bcbd-2078d824af27","27352",5,"4","1","2","1"
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","27350",49,"3","0","0","0"
